epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/returns,test/success_rate,train/episode,train/returns,train/success_rate
0,0.98060375,0.14400011,0.20040074,0.1084698,200,-2.8192694,-97.835,0.03,200,-92.015,0.13
1,0.9807093,0.1440002,0.19792448,0.124938205,400,-5.0644307,-98.86,0.01,400,-91.905,0.125
2,0.98321533,0.13716663,0.19805089,0.1256068,600,-7.218698,-97.545,0.04,600,-95.935,0.055
3,0.9837928,0.1355216,0.19851565,0.12414949,800,-8.0798025,-89.15,0.17,800,-90.79,0.13
4,0.984139,0.13580485,0.1985636,0.12626702,1000,-11.398041,-98.445,0.03,1000,-90.38,0.17
5,0.9834886,0.13275404,0.19650745,0.13162793,1200,-13.16974,-99.835,0.01,1200,-95.0,0.095
6,0.9827871,0.12845284,0.19642197,0.1337918,1400,-14.799039,-98.825,0.01,1400,-95.94,0.085
7,0.9828782,0.12408772,0.19551083,0.1362855,1600,-16.658318,-98.49,0.02,1600,-96.865,0.055
8,0.9828768,0.12674533,0.19580288,0.13885657,1800,-16.229712,-93.98,0.095,1800,-90.96,0.15
9,0.98182315,0.12482142,0.19566374,0.13815354,2000,-15.568005,-87.565,0.18,2000,-81.655,0.27
10,0.98187,0.1295595,0.19615857,0.13985266,2200,-12.63388,-73.14,0.38,2200,-85.925,0.23
11,0.98173237,0.13091378,0.19711271,0.14353642,2400,-20.451916,-98.99,0.015,2400,-89.76,0.155
12,0.9814541,0.13116257,0.19731097,0.14328755,2600,-20.50015,-92.17,0.105,2600,-84.525,0.245
13,0.9809025,0.1300497,0.19755802,0.1431426,2800,-21.12179,-93.87,0.095,2800,-82.96,0.265
14,0.9802666,0.12977712,0.19793738,0.14230123,3000,-14.258287,-69.81,0.43,3000,-81.445,0.285
15,0.9795068,0.13082361,0.19809863,0.1417305,3200,-16.0053,-74.505,0.38,3200,-74.71,0.36
16,0.97897,0.12974086,0.19826831,0.14055374,3400,-20.623432,-81.835,0.29,3400,-77.635,0.305
17,0.9787181,0.12862635,0.19819713,0.14221641,3600,-21.226334,-84.37,0.265,3600,-86.65,0.18
18,0.9783859,0.12918688,0.19825403,0.14109513,3800,-14.052965,-64.575,0.54,3800,-77.965,0.345
19,0.97801375,0.13006766,0.19822547,0.14000443,4000,-14.680598,-63.305,0.525,4000,-70.69,0.425
20,0.9775091,0.13011146,0.19833747,0.13824512,4200,-15.238242,-64.47,0.51,4200,-69.475,0.435
21,0.9769036,0.12940878,0.19838753,0.13674071,4400,-14.94975,-60.195,0.565,4400,-73.275,0.355
22,0.9765809,0.13016179,0.19856909,0.1357989,4600,-12.544807,-55.05,0.605,4600,-65.485,0.49
23,0.9762152,0.1298719,0.19866599,0.13460614,4800,-15.090149,-57.85,0.595,4800,-67.965,0.43
24,0.9756947,0.13000768,0.1987245,0.13321772,5000,-17.451565,-68.02,0.455,5000,-71.375,0.425
25,0.97523546,0.13018784,0.19878396,0.13192855,5200,-17.137016,-64.915,0.475,5200,-69.945,0.43
26,0.9748947,0.12975593,0.19884336,0.13100962,5400,-15.61216,-61.435,0.515,5400,-70.93,0.425
27,0.9746396,0.12968437,0.19892839,0.13001516,5600,-13.573665,-59.14,0.56,5600,-67.895,0.465
28,0.974186,0.12859656,0.19906309,0.12854813,5800,-16.380598,-58.95,0.62,5800,-65.31,0.525
29,0.9737591,0.12870143,0.19912483,0.12751564,6000,-18.20036,-73.505,0.395,6000,-63.73,0.545
30,0.97326666,0.12829645,0.19915329,0.126447,6200,-14.024042,-53.945,0.66,6200,-64.645,0.51
31,0.97285366,0.12808152,0.19917989,0.1255524,6400,-15.31596,-52.66,0.65,6400,-63.79,0.535
32,0.97244376,0.12735608,0.19912507,0.12496771,6600,-13.114525,-46.535,0.75,6600,-61.68,0.555
33,0.97206426,0.12681243,0.19914523,0.12388329,6800,-13.463909,-49.89,0.705,6800,-59.915,0.585
34,0.9716439,0.12619203,0.19910915,0.12300177,7000,-18.833715,-59.91,0.555,7000,-65.4,0.475
35,0.97127956,0.12603243,0.19905622,0.12244554,7200,-18.144276,-59.64,0.56,7200,-64.39,0.515
36,0.9708913,0.12540895,0.19902332,0.12166075,7400,-15.27483,-51.77,0.65,7400,-66.0,0.51
37,0.9706139,0.12520221,0.19904964,0.12104877,7600,-16.979086,-56.78,0.605,7600,-64.945,0.485
38,0.97049075,0.12599564,0.199098,0.12055173,7800,-16.638573,-51.51,0.675,7800,-62.47,0.515
39,0.9702458,0.12601975,0.19913621,0.11995573,8000,-15.782173,-52.01,0.665,8000,-59.91,0.54
40,0.96983904,0.12571964,0.19914111,0.11923434,8200,-13.373151,-48.44,0.715,8200,-57.94,0.615
